4e-07,3e-07,4e-07,3.8e-05,3.32e-05,3.29e-05,4e-07,3.19e-05,3.2e-053.19e-05,3.2e-05
5e-07,3e-07,3e-07,6.43e-05,6.09e-05,6.22e-05,3e-07,7.14e-05,5.6e-057.14e-05,5.6e-05
5e-07,3e-07,3e-07,8.8e-05,8.61e-05,8.6e-05,3e-07,8.48e-05,8.47e-058.48e-05,8.47e-05
5e-07,3e-07,3e-07,0.0001122,0.0001103,0.0001103,3e-07,0.0001093,0.00010820.0001093,0.0001082
5e-07,3e-07,3e-07,0.0001378,0.0001357,0.0001359,4e-07,0.0001352,0.00013390.0001352,0.0001339
5e-07,3e-07,3e-07,0.0001558,0.0001533,0.0001529,3e-07,0.0001521,0.00015120.0001521,0.0001512
4e-07,3e-07,2e-07,0.0001805,0.0001777,0.0001777,3e-07,0.0001766,0.00017550.0001766,0.0001755
4e-07,4e-07,3e-07,0.0002025,0.0002008,0.0002008,3e-07,0.0001998,0.00020020.0001998,0.0002002
4e-07,3e-07,3e-07,0.0002477,0.0002423,0.0002261,3e-07,0.0002235,0.00022210.0002235,0.0002221
5e-07,3e-07,2e-07,0.0002522,0.0002924,0.0002491,3e-07,0.000248,0.0002480.000248,0.000248
4e-07,2e-07,3e-07,0.0002677,0.0002671,0.000266,3e-07,0.000265,0.00028450.000265,0.0002845
4e-07,3e-07,2e-07,0.0002983,0.0002982,0.0002964,3e-07,0.0003037,0.00028740.0003037,0.0002874
4e-07,3e-07,3e-07,0.0003137,0.0003124,0.0003132,3e-07,0.0003113,0.000310.0003113,0.00031
5e-07,4e-07,4e-07,0.0006187,0.0004791,0.0003432,3e-07,0.0003515,0.00033420.0003515,0.0003342
4e-07,4e-07,3e-07,0.0003625,0.0003596,0.00036,2e-07,0.0004186,0.0003680.0004186,0.000368
5e-07,3e-07,3e-07,0.000384,0.0004168,0.0003985,3e-07,0.0003819,0.00038180.0003819,0.0003818
4e-07,3e-07,2e-07,0.0004069,0.0005759,0.000701,4e-07,0.0005825,0.00041770.0005825,0.0004177
4e-07,2e-07,3e-07,0.0004543,0.0004366,0.0004367,3e-07,0.0004297,0.00055060.0004297,0.0005506
5e-07,2e-07,3e-07,0.000488,0.0004545,0.0004533,3e-07,0.0006802,0.00052940.0006802,0.0005294
7e-07,3e-07,2e-07,0.0005779,0.0006027,0.0005156,3e-07,0.000556,0.00047380.000556,0.0004738
4e-07,3e-07,2e-07,0.0005031,0.0005826,0.0005381,3e-07,0.0004992,0.00053480.0004992,0.0005348
5e-07,3e-07,3e-07,0.0005275,0.000559,0.0005227,3e-07,0.0006088,0.00055730.0006088,0.0005573
5e-07,2e-07,3e-07,0.0005491,0.0005462,0.0005459,3e-07,0.0005442,0.00054410.0005442,0.0005441
4e-07,5e-07,3e-07,0.000906,0.0006554,0.0005841,3e-07,0.0005825,0.0007950.0005825,0.000795
5e-07,4e-07,2e-07,0.0006846,0.0006071,0.0006119,4e-07,0.0006063,0.00078610.0006063,0.0007861
5e-07,3e-07,3e-07,0.000618,0.0006155,0.000616,3e-07,0.0006159,0.00063510.0006159,0.0006351
5e-07,3e-07,3e-07,0.0006699,0.0006681,0.000668,3e-07,0.000667,0.0006650.000667,0.000665
