Muestras,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1
3350,0.0006,0.0004,0.0003,1.8818,1.7576,1.7391,0.0004,1.7373,2.0369
3400,0.0007,0.0003,0.0003,1.8716,1.7653,2.0166,0.0005,1.7684,1.7506
3450,0.0008,0.0004,0.0004,3.0184,3.0492,2.2175,0.0005,1.8031,1.9771
3500,0.0006,0.0003,0.0003,2.106,1.8935,2.4289,0.0004,1.7881,2.2432
3550,0.0005,0.0003,0.0003,2.2323,1.9546,1.9701,0.0005,2.3248,2.288
3600,0.001,0.0003,0.0003,1.9334,1.832,1.8782,0.0006,1.8526,1.8465
3650,0.0006,0.0004,0.0003,1.8681,1.8803,1.8557,0.0003,1.853,1.8618
3700,0.0005,0.0003,0.0003,1.9245,1.8853,1.9766,0.0003,1.944,1.9582
3750,0.0007,0.0004,0.0003,1.9671,1.9285,1.9225,0.0004,1.9365,3.9242
3800,0.0007,0.0005,0.0004,2.2099,2.053,2.78,0.0004,2.1652,1.9453
3850,0.0006,0.0004,0.0004,1.9652,1.9683,1.9832,0.0003,1.9852,2.0019
3900,0.0005,0.0003,0.0003,2.7354,2.1135,2.0205,0.0004,2.0081,2.2153
3950,0.0006,0.0004,0.0003,2.0278,2.0244,2.2264,0.0004,2.1656,2.164
4000,0.0005,0.0003,0.0003,2.1307,2.0283,2.0513,0.0005,2.0732,2.2448
4050,0.0006,0.0003,0.0003,2.1567,2.0704,2.0786,0.0005,2.0556,2.0558
4100,0.0005,0.0003,0.0003,3.341,2.784,2.088,0.0007,2.0864,2.1712
4150,0.0008,0.0004,0.0536,2.1416,2.3466,2.2017,0.0004,2.4995,2.1991
4200,0.0006,0.0004,0.0003,2.1666,2.3366,3.1264,0.0007,2.5863,2.7555
4250,0.0005,0.0004,0.0003,2.3476,2.3967,2.4274,0.001,2.2237,2.1891
4300,0.0005,0.0006,0.0003,2.7729,2.5556,2.3005,0.0004,2.332,2.2106
4350,0.0004,0.0003,0.0003,2.2126,2.2222,2.2061,0.0003,2.2241,2.6878
4400,0.0007,0.0005,0.0004,2.8068,2.6711,2.2596,0.0005,2.2832,2.3032
4450,0.0005,0.0003,0.0002,2.341,2.8118,2.4155,0.0005,2.3865,2.464
4500,0.0007,0.0005,0.0003,2.7684,2.506,4.2282,0.0005,2.4319,2.7846
4550,0.001,0.0004,0.0003,2.3374,2.3336,2.5438,0.0005,2.3734,2.3463
4600,0.0006,0.0003,0.0003,2.3646,2.3413,2.3492,0.0004,2.3541,2.3212
4650,0.0016,0.0007,0.0004,2.8382,2.4018,2.8063,0.0004,2.3797,2.3887
4700,0.0007,0.0003,0.0003,2.6733,2.4622,2.62,0.0004,2.4128,2.4154
4750,0.0005,0.0008,0.0003,2.447,2.43,2.428,0.0004,2.4423,2.4391
4800,0.0006,0.0003,0.0003,2.8975,2.4695,2.464,0.0005,2.4454,2.7954
4850,0.0004,0.0008,0.0003,2.6573,2.486,2.4586,0.0003,2.4508,2.4544
4900,0.0006,0.0003,0.0004,3.56,3.1656,2.5129,0.0005,2.485,2.4797
4950,0.0006,0.0004,0.0003,2.7102,3.0553,2.6499,0.0003,2.6362,2.686
5000,0.0005,0.0003,0.0003,2.7001,2.7724,2.7504,0.0006,2.6423,2.8379
5050,0.0005,0.0004,0.0002,2.803,2.771,2.8357,0.0004,3.0694,2.6397
5100,0.0006,0.0003,0.0003,2.6342,2.5735,2.5746,0.0003,2.5794,2.5761
5150,0.0005,0.0004,0.0003,3.8531,2.7176,2.7155,0.0004,2.7289,2.7056
5200,0.0007,0.0003,0.0003,2.6738,2.6614,2.6177,0.0003,2.6457,2.7351
5250,0.0005,0.0003,0.0003,2.7147,2.6614,2.6964,0.0003,2.6814,2.8958
5300,0.0005,0.0004,0.0003,2.7133,4.2075,3.3828,0.0003,2.989,2.6817
5350,0.0005,0.0003,0.0003,2.9297,2.774,3.4198,0.0004,3.0274,2.9556
5400,0.0005,0.0002,0.0003,3.7629,4.5659,3.5309,0.0004,2.9779,4.0283
5450,0.0007,0.0003,0.0003,3.3096,4.3875,4.3429,0.0006,3.9748,3.8442
5500,0.0011,0.0012,0.0004,3.8431,2.9533,3.0358,0.0007,3.6067,3.0969
