7e-07,2e-07,1e-07,2e-07,3e-07,2e-07,1e-07,3e-07,2e-073e-07,2e-07
3e-07,2e-07,1e-07,1e-07,2e-07,2e-07,1e-07,4e-07,3e-074e-07,3e-07
3e-07,2e-07,2e-07,2e-07,2e-07,3e-07,1e-07,5e-07,4e-075e-07,4e-07
2e-07,1e-07,1e-07,1e-07,3e-07,5e-07,1e-07,5e-07,5e-075e-07,5e-07
2e-07,2e-07,2e-07,2e-07,3e-07,5e-07,2e-07,6e-07,5e-076e-07,5e-07
2e-07,1e-07,1e-07,1e-07,4e-07,5e-07,1e-07,7e-07,6e-077e-07,6e-07
2e-07,2e-07,2e-07,2e-07,4e-07,6e-07,1e-07,7e-07,7e-077e-07,7e-07
3e-07,1e-07,1e-07,1e-07,4e-07,7e-07,1e-07,8e-07,7e-078e-07,7e-07
3e-07,2e-07,1e-07,2e-07,5e-07,8e-07,2e-07,9e-07,8e-079e-07,8e-07
3e-07,2e-07,2e-07,2e-07,5e-07,8e-07,1e-07,9e-07,9e-079e-07,9e-07
2e-07,2e-07,2e-07,2e-07,4e-07,8e-07,1e-07,1e-06,9e-071e-06,9e-07
3e-07,1e-07,1e-07,1e-07,1.8e-06,1.2e-06,2e-07,1.3e-06,1.1e-061.3e-06,1.1e-06
2e-07,1e-07,1e-07,1e-07,6e-07,1.1e-06,2e-07,1.2e-06,1.1e-061.2e-06,1.1e-06
3e-07,1e-07,1e-07,1e-07,7e-07,1.1e-06,2e-07,1.2e-06,1.1e-061.2e-06,1.1e-06
3e-07,1e-07,1e-07,1e-07,6e-07,1.2e-06,1e-07,1.4e-06,1.2e-061.4e-06,1.2e-06
2e-07,2e-07,2e-07,2e-07,7e-07,1.3e-06,1e-07,1.4e-06,1.3e-061.4e-06,1.3e-06
3e-07,2e-07,2e-07,1e-07,7e-07,1.3e-06,1e-07,1.5e-06,1.3e-061.5e-06,1.3e-06
3e-07,2e-07,2e-07,2e-07,8e-07,6e-07,1e-07,1.5e-06,1.6e-061.5e-06,1.6e-06
3e-07,1e-07,1e-07,1e-07,8e-07,1.5e-06,2e-07,1.7e-06,1.5e-061.7e-06,1.5e-06
2e-07,1e-07,1e-07,1e-07,5e-07,1.6e-06,1e-07,1.7e-06,1.6e-061.7e-06,1.6e-06
2e-07,2e-07,2e-07,2e-07,9e-07,1.7e-06,2e-07,1.8e-06,1.6e-061.8e-06,1.6e-06
3e-07,1e-07,1e-07,1e-07,9e-07,1.6e-06,1e-07,1.9e-06,1.7e-061.9e-06,1.7e-06
3e-07,1e-07,1e-07,1e-07,9e-07,1.7e-06,1e-07,1.9e-06,1.8e-061.9e-06,1.8e-06
2e-07,1e-07,1e-07,1e-07,1e-06,1.8e-06,1e-07,2e-06,1.9e-062e-06,1.9e-06
2e-07,1e-07,1e-07,2e-07,1e-06,1.9e-06,1e-07,2e-06,1.9e-062e-06,1.9e-06
3e-07,2e-07,1e-07,2e-07,1e-06,1.9e-06,1e-07,2.1e-06,1.9e-062.1e-06,1.9e-06
